93.54.402.226 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.181
95.16.250.376 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.798 (> 0.100 thold), f_keep = 0.850
95.16.251.233 I slot launch_slot_: id  0 | task 7609 | processing task, is_child = 0
95.17.904.289 I slot print_timing: id  0 | task 7609 | prompt eval time =     368.82 ms /   219 tokens (    1.68 ms per token,   593.79 tokens per second)
95.17.904.301 I slot print_timing: id  0 | task 7609 |        eval time =    1284.20 ms /   114 tokens (   11.36 ms per token,    87.99 tokens per second)
95.17.904.301 I slot print_timing: id  0 | task 7609 |       total time =    1653.02 ms /   333 tokens
95.17.904.302 I slot print_timing: id  0 | task 7609 |    graphs reused =       7150
95.17.904.384 I slot      release: id  0 | task 7609 | stop processing: n_tokens = 925, truncated = 0
95.18.082.950 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.824 (> 0.100 thold), f_keep = 0.872
95.18.083.571 I slot launch_slot_: id  0 | task 7726 | processing task, is_child = 0
95.19.614.790 I slot print_timing: id  0 | task 7726 | prompt eval time =     362.76 ms /   227 tokens (    1.60 ms per token,   625.76 tokens per second)
95.19.614.802 I slot print_timing: id  0 | task 7726 |        eval time =    1168.42 ms /   103 tokens (   11.46 ms per token,    87.30 tokens per second)
95.19.614.816 I slot print_timing: id  0 | task 7726 |       total time =    1531.18 ms /   330 tokens
95.19.614.817 I slot print_timing: id  0 | task 7726 |    graphs reused =       7250
95.19.614.904 I slot      release: id  0 | task 7726 | stop processing: n_tokens = 1081, truncated = 0
95.19.857.229 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.857 (> 0.100 thold), f_keep = 0.901
95.19.857.925 I slot launch_slot_: id  0 | task 7832 | processing task, is_child = 0
95.21.417.778 I slot print_timing: id  0 | task 7832 | prompt eval time =     356.84 ms /   219 tokens (    1.63 ms per token,   613.72 tokens per second)
95.21.417.789 I slot print_timing: id  0 | task 7832 |        eval time =    1202.96 ms /   106 tokens (   11.46 ms per token,    87.28 tokens per second)
95.21.417.789 I slot print_timing: id  0 | task 7832 |       total time =    1559.80 ms /   325 tokens
95.21.417.791 I slot print_timing: id  0 | task 7832 |    graphs reused =       7354
95.21.418.372 I slot      release: id  0 | task 7832 | stop processing: n_tokens = 1241, truncated = 0
95.21.600.650 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.873 (> 0.100 thold), f_keep = 0.911
95.21.601.463 I slot launch_slot_: id  0 | task 7941 | processing task, is_child = 0
95.22.992.839 I slot print_timing: id  0 | task 7941 | prompt eval time =     357.48 ms /   220 tokens (    1.62 ms per token,   615.43 tokens per second)
95.22.992.851 I slot print_timing: id  0 | task 7941 |        eval time =    1033.87 ms /    91 tokens (   11.49 ms per token,    87.05 tokens per second)
95.22.992.852 I slot print_timing: id  0 | task 7941 |       total time =    1391.34 ms /   311 tokens
95.22.992.865 I slot print_timing: id  0 | task 7941 |    graphs reused =       7443
95.22.993.037 I slot      release: id  0 | task 7941 | stop processing: n_tokens = 1386, truncated = 0
95.23.249.358 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.882 (> 0.100 thold), f_keep = 0.931
95.23.250.102 I slot launch_slot_: id  0 | task 8035 | processing task, is_child = 0
95.24.959.262 I slot print_timing: id  0 | task 8035 | prompt eval time =     361.71 ms /   229 tokens (    1.58 ms per token,   633.10 tokens per second)
95.24.959.272 I slot print_timing: id  0 | task 8035 |        eval time =    1347.40 ms /   119 tokens (   11.42 ms per token,    87.58 tokens per second)
95.24.959.273 I slot print_timing: id  0 | task 8035 |       total time =    1709.12 ms /   348 tokens
95.24.959.274 I slot print_timing: id  0 | task 8035 |    graphs reused =       7559
95.24.959.418 I slot      release: id  0 | task 8035 | stop processing: n_tokens = 1581, truncated = 0
95.25.143.666 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.894 (> 0.100 thold), f_keep = 0.922
95.25.144.293 I slot launch_slot_: id  0 | task 8157 | processing task, is_child = 0
95.26.754.207 I slot print_timing: id  0 | task 8157 | prompt eval time =     356.95 ms /   228 tokens (    1.57 ms per token,   638.75 tokens per second)
95.26.754.218 I slot print_timing: id  0 | task 8157 |        eval time =    1252.94 ms /   111 tokens (   11.39 ms per token,    87.79 tokens per second)
95.26.754.219 I slot print_timing: id  0 | task 8157 |       total time =    1609.89 ms /   339 tokens
95.26.754.220 I slot print_timing: id  0 | task 8157 |    graphs reused =       7668
95.26.754.369 I slot      release: id  0 | task 8157 | stop processing: n_tokens = 1741, truncated = 0
95.26.937.619 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.908 (> 0.100 thold), f_keep = 0.934
95.26.938.291 I slot launch_slot_: id  0 | task 8271 | processing task, is_child = 0
95.28.592.171 I slot print_timing: id  0 | task 8271 | prompt eval time =     355.97 ms /   218 tokens (    1.63 ms per token,   612.41 tokens per second)
95.28.592.183 I slot print_timing: id  0 | task 8271 |        eval time =    1297.88 ms /   114 tokens (   11.49 ms per token,    87.07 tokens per second)
95.28.592.184 I slot print_timing: id  0 | task 8271 |       total time =    1653.85 ms /   332 tokens
95.28.592.185 I slot print_timing: id  0 | task 8271 |    graphs reused =       7779
95.28.592.340 I slot      release: id  0 | task 8271 | stop processing: n_tokens = 1903, truncated = 0
95.28.764.106 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.984 (> 0.100 thold), f_keep = 0.166
95.28.765.179 I slot launch_slot_: id  0 | task 8388 | processing task, is_child = 0
95.30.369.035 I slot print_timing: id  0 | task 8388 | prompt eval time =     410.81 ms /    62 tokens (    6.63 ms per token,   150.92 tokens per second)
95.30.369.046 I slot print_timing: id  0 | task 8388 |        eval time =    1193.02 ms /   105 tokens (   11.47 ms per token,    87.17 tokens per second)
95.30.369.047 I slot print_timing: id  0 | task 8388 |       total time =    1603.82 ms /   167 tokens
95.30.369.048 I slot print_timing: id  0 | task 8388 |    graphs reused =       7882
95.30.369.118 I slot      release: id  0 | task 8388 | stop processing: n_tokens = 425, truncated = 0
95.30.543.048 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.656 (> 0.100 thold), f_keep = 0.744
95.30.543.639 I slot launch_slot_: id  0 | task 8495 | processing task, is_child = 0
95.32.104.138 I slot print_timing: id  0 | task 8495 | prompt eval time =     375.57 ms /   223 tokens (    1.68 ms per token,   593.77 tokens per second)
95.32.104.149 I slot print_timing: id  0 | task 8495 |        eval time =    1184.90 ms /   104 tokens (   11.50 ms per token,    86.93 tokens per second)
95.32.104.150 I slot print_timing: id  0 | task 8495 |       total time =    1560.47 ms /   327 tokens
95.32.104.151 I slot print_timing: id  0 | task 8495 |    graphs reused =       7983
95.32.104.213 I slot      release: id  0 | task 8495 | stop processing: n_tokens = 585, truncated = 0
95.32.276.466 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.743 (> 0.100 thold), f_keep = 0.815
95.32.277.145 I slot launch_slot_: id  0 | task 8602 | processing task, is_child = 0
95.33.708.170 I slot print_timing: id  0 | task 8602 | prompt eval time =     378.71 ms /   220 tokens (    1.72 ms per token,   580.92 tokens per second)
95.33.708.181 I slot print_timing: id  0 | task 8602 |        eval time =    1052.28 ms /    93 tokens (   11.44 ms per token,    87.43 tokens per second)
95.33.708.195 I slot print_timing: id  0 | task 8602 |       total time =    1430.99 ms /   313 tokens
95.33.708.196 I slot print_timing: id  0 | task 8602 |    graphs reused =       8074
95.33.708.269 I slot      release: id  0 | task 8602 | stop processing: n_tokens = 734, truncated = 0
95.33.884.623 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.805 (> 0.100 thold), f_keep = 0.868
95.33.885.344 I slot launch_slot_: id  0 | task 8698 | processing task, is_child = 0
95.35.351.073 I slot print_timing: id  0 | task 8698 | prompt eval time =     366.05 ms /   209 tokens (    1.75 ms per token,   570.96 tokens per second)
95.35.351.083 I slot print_timing: id  0 | task 8698 |        eval time =    1099.64 ms /    97 tokens (   11.45 ms per token,    87.30 tokens per second)
95.35.351.084 I slot print_timing: id  0 | task 8698 |       total time =    1465.68 ms /   306 tokens
95.35.351.085 I slot print_timing: id  0 | task 8698 |    graphs reused =       8169
95.35.351.161 I slot      release: id  0 | task 8698 | stop processing: n_tokens = 887, truncated = 0
95.35.625.865 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.831 (> 0.100 thold), f_keep = 0.886
95.35.626.677 I slot launch_slot_: id  0 | task 8798 | processing task, is_child = 0
95.36.879.407 I slot print_timing: id  0 | task 8798 | prompt eval time =     360.47 ms /   215 tokens (    1.68 ms per token,   596.44 tokens per second)
95.36.879.417 I slot print_timing: id  0 | task 8798 |        eval time =     892.22 ms /    79 tokens (   11.44 ms per token,    87.42 tokens per second)
95.36.879.418 I slot print_timing: id  0 | task 8798 |       total time =    1252.70 ms /   294 tokens
95.36.879.419 I slot print_timing: id  0 | task 8798 |    graphs reused =       8246
95.36.879.502 I slot      release: id  0 | task 8798 | stop processing: n_tokens = 1024, truncated = 0
95.37.165.619 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.870 (> 0.100 thold), f_keep = 0.919
95.37.166.299 I slot launch_slot_: id  0 | task 8880 | processing task, is_child = 0
95.38.601.750 I slot print_timing: id  0 | task 8880 | prompt eval time =     358.48 ms /   197 tokens (    1.82 ms per token,   549.54 tokens per second)
95.38.601.762 I slot print_timing: id  0 | task 8880 |        eval time =    1076.92 ms /    95 tokens (   11.46 ms per token,    87.29 tokens per second)
95.38.601.762 I slot print_timing: id  0 | task 8880 |       total time =    1435.41 ms /   292 tokens
95.38.601.763 I slot print_timing: id  0 | task 8880 |    graphs reused =       8339
95.38.602.344 I slot      release: id  0 | task 8880 | stop processing: n_tokens = 1175, truncated = 0
95.38.805.212 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.872 (> 0.100 thold), f_keep = 0.916
95.38.805.938 I slot launch_slot_: id  0 | task 8978 | processing task, is_child = 0
95.40.050.525 I slot print_timing: id  0 | task 8978 | prompt eval time =     358.05 ms /   213 tokens (    1.68 ms per token,   594.89 tokens per second)
95.40.050.537 I slot print_timing: id  0 | task 8978 |        eval time =     886.50 ms /    78 tokens (   11.51 ms per token,    86.86 tokens per second)
95.40.050.538 I slot print_timing: id  0 | task 8978 |       total time =    1244.55 ms /   291 tokens
95.40.050.539 I slot print_timing: id  0 | task 8978 |    graphs reused =       8414
95.40.050.680 I slot      release: id  0 | task 8978 | stop processing: n_tokens = 1311, truncated = 0
95.40.233.522 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.898 (> 0.100 thold), f_keep = 0.937
95.40.234.253 I slot launch_slot_: id  0 | task 9059 | processing task, is_child = 0
95.41.527.828 I slot print_timing: id  0 | task 9059 | prompt eval time =     360.93 ms /   196 tokens (    1.84 ms per token,   543.04 tokens per second)
95.41.527.840 I slot print_timing: id  0 | task 9059 |        eval time =     932.61 ms /    82 tokens (   11.51 ms per token,    86.85 tokens per second)
95.41.527.854 I slot print_timing: id  0 | task 9059 |       total time =    1293.54 ms /   278 tokens
95.41.527.855 I slot print_timing: id  0 | task 9059 |    graphs reused =       8494
95.41.527.996 I slot      release: id  0 | task 9059 | stop processing: n_tokens = 1449, truncated = 0
95.41.776.361 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.906 (> 0.100 thold), f_keep = 0.941
95.41.777.097 I slot launch_slot_: id  0 | task 9144 | processing task, is_child = 0
95.43.042.843 I slot print_timing: id  0 | task 9144 | prompt eval time =     367.58 ms /   197 tokens (    1.87 ms per token,   535.94 tokens per second)
95.43.042.854 I slot print_timing: id  0 | task 9144 |        eval time =     898.14 ms /    79 tokens (   11.51 ms per token,    86.85 tokens per second)
95.43.042.855 I slot print_timing: id  0 | task 9144 |       total time =    1265.71 ms /   276 tokens
95.43.042.856 I slot print_timing: id  0 | task 9144 |    graphs reused =       8570
95.43.043.000 I slot      release: id  0 | task 9144 | stop processing: n_tokens = 1583, truncated = 0
95.43.315.553 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.917 (> 0.100 thold), f_keep = 0.948
95.43.316.219 I slot launch_slot_: id  0 | task 9226 | processing task, is_child = 0
95.44.705.678 I slot print_timing: id  0 | task 9226 | prompt eval time =     356.52 ms /   189 tokens (    1.89 ms per token,   530.12 tokens per second)
95.44.705.689 I slot print_timing: id  0 | task 9226 |        eval time =    1032.91 ms /    91 tokens (   11.48 ms per token,    87.13 tokens per second)
95.44.705.689 I slot print_timing: id  0 | task 9226 |       total time =    1389.43 ms /   280 tokens
95.44.705.704 I slot print_timing: id  0 | task 9226 |    graphs reused =       8659
95.44.705.824 I slot      release: id  0 | task 9226 | stop processing: n_tokens = 1725, truncated = 0
